id,platform,year,genre,publisher,na_sales,eu_sales,other_sales,jp_sales
2830,PSV,2012,Racing,Electronic Arts,0.38,0.52,0.25,1.0100000001483
3865,SNES,1996,Role-Playing,ASCII Entertainment,0,0,0,1.30999999972089
4617,PSP,2009,Sports,Takara Tomy,0.09,0,0.01,1.03999999984059
3675,DS,2007,Fighting,Takara Tomy,0,0,0,1.07999999985298
1612,PSV,2016,Action,Namco Bandai Games,0,0,0,1.11999999965616
1032,DS,2009,Action,Sega,0,0,0,1.02999999975121
1775,DS,2010,Adventure,Capcom,0.2,0.08,0.03,1.11999999965616
2566,SAT,1997,Sports,Sega,0,0,0,1.49000000006352
2185,SAT,1996,Strategy,Tecmo Koei,0,0,0,1.11999999965616
1132,PS,1998,Strategy,Tecmo Koei,0,0,0,1.03999999984059
5971,PS2,2002,Strategy,Namco Bandai Games,0,0,0,1.56999999943446
2103,PSP,2013,Adventure,Kaga Create,0,0,0,1.0100000001483
270,PSP,2006,Adventure,Sony Computer Entertainment,0,0,0,1.10000000021524
3532,PSV,2016,Action,Tecmo Koei,0,0,0,1.1300000003116
3992,PSV,2016,Adventure,Broccoli,0,0,0,1.0100000001483
79,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.03,1.34999999939204
3922,SAT,1998,Strategy,Sega,0,0,0,1.0499999998221
3350,WiiU,2014,Misc,Namco Bandai Games,0,0,0,1.02999999975121
1652,SNES,1994,Action,Banpresto,0,0,0,1.02999999975121
2128,DS,2008,Role-Playing,GungHo,0.1,0,0.01,1.10999999964009
5106,PSP,2006,Simulation,Namco Bandai Games,0,0,0,1.0199999996979
4436,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0,1.06999999949302
3882,PSP,2011,Strategy,Konami Digital Entertainment,0,0,0,1.1599999998628
437,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.06,1.29999999939226
985,PSP,2011,Adventure,Kadokawa Shoten,0,0,0,1.05999999986859
4020,DS,2006,Platform,Nintendo,0.79,0.03,0.08,2.04999999969185
5255,DS,2009,Role-Playing,Sega,0,0,0,1.1399999995367
1288,PS2,2006,Action,Eidos Interactive,0.25,0.19,0.06,1.0199999996979
4760,PS2,2007,Sports,Tecmo Koei,0,0,0,1.0199999996979
4150,N64,1999,Platform,Nintendo,3.33,0.79,0.06,2.09000000004866
538,PS2,2000,Fighting,Empire Interactive,0.05,0.04,0.01,1.37999999976662
5022,PSV,2016,Fighting,Namco Bandai Games,0,0,0,1.02999999975121
2620,PSP,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.02,1.10000000021524
4755,X360,2012,Role-Playing,Electronic Arts,1.94,0.86,0.24,1.02999999975121
3173,N64,1997,Misc,Namco Bandai Games,0,0,0,1.2200000003109
2432,N64,1997,Puzzle,Hudson Soft,0.5,0.2,0.03,1.30999999972089
890,DS,2007,Strategy,Square Enix,0.01,0,0,1.02999999975121
5995,DS,2010,Simulation,Marvelous Interactive,0,0,0,1.0199999996979
4861,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,1.03999999984059
603,X360,2010,Action,Ubisoft,2.84,0.39,0.24,1.02999999975121
3978,PSV,2012,Action,Konami Digital Entertainment,0,0,0,1.03999999984059
229,3DS,2015,Puzzle,Nintendo,0.05,0.05,0.01,1.34000000004982
2474,XB,2002,Simulation,Phantagram,0.03,0.01,0,1.0100000001483
2222,DS,2007,Simulation,Electronic Arts,0.33,0.03,0.03,1.21000000047353
4518,WiiU,2013,Misc,Nintendo,0.06,0.06,0.01,1.10999999964009
4703,PS3,2013,Sports,Tecmo Koei,0,0,0,1.0499999998221
4172,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.1,1.0100000001483
5195,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.25,1.0499999998221
4012,PS3,2011,Fighting,Capcom,0.81,0.29,0.14,1.10999999964009
4468,GBA,2001,Puzzle,Namco Bandai Games,0,0,0,1.14999999956857
4420,PSP,2011,Strategy,System Soft,0,0,0,1.0100000001483
2479,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.02,1.0499999998221
3716,DS,2006,Role-Playing,Takara Tomy,0,0,0,1.08999999973725
1348,PS2,2007,Misc,D3Publisher,0,0,0,1.05999999986859
578,X360,2014,Shooter,Electronic Arts,0.87,0.38,0.11,1.0199999996979
326,PS2,2005,Action,LucasArts,1.47,1.39,0.43,1.02999999975121
825,PS4,2015,Action,Namco Bandai Games,0,0,0,1.07999999985298
883,DS,2008,Adventure,Namco Bandai Games,0,0,0,1.03999999984059
558,DS,2009,Role-Playing,Square Enix,0,0,0,1.0199999996979
4877,PS3,2012,Action,Namco Bandai Games,0,0,0,1.02999999975121
1598,PSP,2010,Adventure,Kadokawa Shoten,0,0,0,1.0199999996979
533,PS2,2006,Adventure,GN Software,0,0,0,1.0100000001483
1297,PSP,2010,Adventure,D3Publisher,0,0,0,1.0100000001483
187,DS,2005,Platform,Nintendo,0.37,0,0.04,1.32000000053027
4656,SNES,1993,Platform,Capcom,0.94,0.34,0.27,1.21000000047353
5926,SNES,1995,Platform,Konami Digital Entertainment,0.03,0.01,0,1.0499999998221
2188,X360,2005,Sports,Electronic Arts,0.11,0.02,0.01,1.0100000001483
984,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.51,1.10000000021524
5582,DS,2006,Misc,Shogakukan,0,0,0,1.20000000024725
1202,SAT,1994,Racing,Sega,0,0,0,1.06999999949302
1949,PS2,2007,Role-Playing,Sega,0,0,0,1.10000000021524
5932,PSV,2013,Adventure,Kadokawa Shoten,0,0,0,1.06999999949302
853,PS,1999,Simulation,Konami Digital Entertainment,0,0,0.02,1.26999999940247
1287,PS2,2010,Adventure,Idea Factory,0,0,0,1.02999999975121
5263,Wii,2008,Action,Marvelous Interactive,0,0,0,1.0100000001483
2230,PS4,2013,Action,Ubisoft,1.07,1.31,0.31,1.05999999986859
3597,PS2,2009,Adventure,Idea Factory,0,0,0,1.03999999984059
1535,SNES,1995,Sports,Namco Bandai Games,0,0,0,1.0499999998221
2971,3DS,2013,Simulation,Nintendo,0.96,2.02,0.28,2.88999999964066
54,PSV,2014,Misc,Idea Factory,0,0,0,1.0100000001483
307,PS,1997,Sports,ASCII Entertainment,0,0,0.14,2.95999999900553
4451,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.36,0.17,1.4000000005303
2920,PS3,2012,Action,THQ,0.35,0.37,0.14,1.0100000001483
2436,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.49,1.06999999949302
1161,Wii,2007,Sports,Nintendo,1.07,1.06,0.25,1.24000000047499
1539,SNES,1994,Strategy,Tecmo Koei,0,0,0,1.52999999938135
3612,DS,2010,Sports,Arc System Works,0.04,0,0,1.0100000001483
566,DS,2009,Strategy,D3Publisher,0,0,0,1.0100000001483
1909,3DS,2015,Role-Playing,Nintendo,0.26,0.14,0.04,1.11999999965616
696,PS3,2008,Action,Touchstone,0.35,0.22,0.1,1.0100000001483
3316,PS,2002,Action,Namco Bandai Games,0,0,0.01,1.17999999943646
670,DS,2007,Action,Namco Bandai Games,0,0,0,1.03999999984059
1419,SNES,1993,Puzzle,Banpresto,0,0,0.01,2.69000000103902
5820,XOne,2015,Shooter,Electronic Arts,1.94,1.22,0.31,1.0199999996979
413,PSP,2010,Adventure,Idea Factory,0,0,0,1.0100000001483
2557,DC,1999,Sports,Sega,0,0,0,1.22999999952728
3175,PS2,2005,Role-Playing,Sega,0.07,0.05,0.02,1.14999999956857
549,PS,1996,Adventure,ASCII Entertainment,0.07,0.05,0.03,1.37999999976662
141,PS2,2011,Adventure,Idea Factory,0,0,0,1.0199999996979
5661,PS,1997,Fighting,Capcom,0.16,0.11,0.03,1.11999999965616
4940,PSV,2014,Fighting,Arc System Works,0.03,0,0.01,1.0199999996979
2861,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.08,1.37999999976662
1722,PS3,2008,Fighting,Namco Bandai Games,0.49,0.35,0.16,1.08999999973725
2456,PS2,2009,Adventure,Prototype,0,0,0,1.0499999998221
4331,GBA,2002,Action,Capcom,0,0,0,1.1399999995367
1662,PSP,2011,Role-Playing,Nippon Ichi Software,0,0,0,1.0499999998221
2384,GBA,2005,Action,Sega,0,0,0.02,1.69999999989431
562,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.65,1.17999999943646
5983,SNES,1994,Fighting,Takara,0,0,0,1.55999999959214
1030,DS,2006,Puzzle,Hudson Entertainment,0,0,0,1.0199999996979
4967,TG16,1995,Shooter,Hudson Soft,0,0,0,1.0199999996979
2632,PS,1999,Role-Playing,Square,0,0,0.03,1.4200000005493
1308,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.05,1.0100000001483
714,3DS,2015,Action,Nintendo,0,0,0,1.18999999985311
223,3DS,2014,Adventure,Namco Bandai Games,0,0,0,1.05999999986859
882,PS,1999,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.04,1.30999999972089
4058,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.05,1.02999999975121
4504,NG,1993,Fighting,SNK,0,0,0,1.1399999995367
5657,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.08,1.36000000034277
5928,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.13,1.20000000024725
2403,PS2,2008,Adventure,Yeti,0,0,0,1.0499999998221
1591,DS,2009,Puzzle,Namco Bandai Games,0,0,0,1.03999999984059
3738,PS3,2009,Adventure,Spike,0,0,0,1.0199999996979
2670,PS4,2015,Racing,Electronic Arts,0.49,1.49,0.36,1.0499999998221
4263,DS,2009,Adventure,Sega,0,0,0,1.02999999975121
5634,PS4,2015,Action,D3Publisher,0,0,0,1.0199999996979
4497,3DS,2014,Role-Playing,imageepoch Inc.,0,0,0,1.02999999975121
105,PS3,2008,Action,Namco Bandai Games,0.09,0.07,0.03,1.32000000053027
2063,SNES,1994,Sports,Human Entertainment,0,0,0,1.37000000021915
358,PS2,2010,Adventure,Idea Factory,0,0,0,1.0100000001483
2549,PS2,2002,Strategy,Namco Bandai Games,0,0,0,1.37999999976662
4124,PS,1997,Role-Playing,Electronic Arts,0.29,0.19,0.04,1.06999999949302
2927,NES,1990,Platform,Capcom,0.68,0.14,0.02,1.34999999939204
3976,3DS,2015,Misc,Shogakukan,0,0,0,1.02999999975121
2689,PSP,2009,Role-Playing,Sega,0.08,0.11,0.06,1.61999999960425
5786,3DS,2015,Strategy,Nintendo,0.14,0.05,0.02,1.0100000001483
2885,Wii,2010,Strategy,Namco Bandai Games,0,0,0,1.02999999975121
356,PS,2001,Sports,Activision,1.09,0.49,0.07,1.0199999996979
3759,PS2,2004,Fighting,Atari,1.09,0.15,0.04,1.65000000014439
1800,Wii,2009,Strategy,Nintendo,0.11,0.14,0.02,1.32999999968923
3013,Wii,2008,Misc,Namco Bandai Games,0,0,0,1.0100000001483
